Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr3	1050000	1.0000	1.050000
chr3	1100000	1.0000	1.100000
chr3	1150000	1.0000	1.150000
chr3	1200000	1.0000	1.200000
chr3	1250000	1.0000	1.250000
chr3	1300000	1.0000	1.300000
chr3	1350000	1.0000	1.350000
chr3	1400000	1.0000	1.400000
chr3	1450000	1.0000	1.450000
chr3	1500000	1.0000	1.500000
chr3	1550000	1.0000	1.550000
chr3	1600000	1.0000	1.600000
chr3	1650000	1.0000	1.650000
chr3	1700000	1.0000	1.700000
chr3	1750000	1.0000	1.750000
chr3	1800000	1.0000	1.800000
chr3	1850000	1.0000	1.850000
chr3	1900000	1.0000	1.900000
chr3	1950000	1.0000	1.950000
chr3	2000000	1.0000	2.000000
chr3	2050000	1.0000	2.050000
chr3	2100000	1.0000	2.100000
chr3	2150000	1.0000	2.150000
chr3	2200000	1.0000	2.200000
chr3	2250000	1.0000	2.250000
chr3	2300000	1.0000	2.300000
chr3	2350000	1.0000	2.350000
chr3	2400000	1.0000	2.400000
chr3	2450000	1.0000	2.450000
chr3	2500000	1.0000	2.500000
chr3	2550000	1.0000	2.550000
chr3	2600000	1.0000	2.600000
chr3	2650000	1.0000	2.650000
chr3	2700000	1.0000	2.700000
chr3	2750000	1.0000	2.750000
chr3	2800000	1.0000	2.800000
chr3	2850000	1.0000	2.850000
chr3	2900000	1.0000	2.900000
chr3	2950000	1.0000	2.950000
chr3	3000000	1.0000	3.000000
chr3	3050000	1.0000	3.050000
chr3	3100000	1.0000	3.100000
chr3	3150000	1.0000	3.150000
chr3	3200000	1.0000	3.200000
chr3	3250000	1.0000	3.250000
chr3	3300000	1.0000	3.300000
chr3	3350000	1.0000	3.350000
chr3	3400000	1.0000	3.400000
chr3	3450000	1.0000	3.450000
chr3	3500000	1.0000	3.500000
chr3	3550000	1.0000	3.550000
chr3	3600000	1.0000	3.600000
chr3	3650000	1.0000	3.650000
chr3	3700000	1.0000	3.700000
chr3	3750000	1.0000	3.750000
chr3	3800000	1.0000	3.800000
chr3	3850000	1.0000	3.850000
chr3	3900000	1.0000	3.900000
chr3	3950000	1.0000	3.950000
chr3	4000000	1.0000	4.000000
chr3	4050000	1.0000	4.050000
chr3	4100000	1.0000	4.100000
chr3	4150000	1.0000	4.150000
chr3	4200000	1.0000	4.200000
chr3	4250000	1.0000	4.250000
chr3	4300000	1.0000	4.300000
chr3	4350000	1.0000	4.350000
chr3	4400000	1.0000	4.400000
chr3	4450000	1.0000	4.450000
chr3	4500000	0.0500	4.500000
chr3	4550000	0.0500	4.502500
chr3	4600000	0.0500	4.505000
chr3	4650000	0.0500	4.507500
chr3	4700000	0.0500	4.510000
chr3	4750000	0.0500	4.512500
chr3	4800000	0.0500	4.515000
chr3	4850000	0.0500	4.517500
chr3	4900000	0.0500	4.520000
chr3	4950000	0.0500	4.522500
chr3	5000000	0.0500	4.525000
chr3	5050000	0.0500	4.527500
chr3	5100000	0.0500	4.530000
chr3	5150000	0.0500	4.532500
chr3	5200000	0.0500	4.535000
chr3	5250000	0.0500	4.537500
chr3	5300000	0.0500	4.540000
chr3	5350000	0.0500	4.542500
chr3	5400000	0.0500	4.545000
chr3	5450000	0.0500	4.547500
chr3	5500000	0.0500	4.550000
chr3	5550000	1.0000	4.552500
chr3	5600000	1.0000	4.602500
chr3	5650000	1.0000	4.652500
chr3	5700000	1.0000	4.702500
chr3	5750000	1.0000	4.752500
chr3	5800000	1.0000	4.802500
chr3	5850000	1.0000	4.852500
chr3	5900000	1.0000	4.902500
chr3	5950000	1.0000	4.952500
chr3	6000000	1.0000	5.002500
chr3	6050000	1.0000	5.052500
chr3	6100000	1.0000	5.102500
chr3	6150000	1.0000	5.152500
chr3	6200000	1.0000	5.202500
chr3	6250000	1.0000	5.252500
chr3	6300000	1.0000	5.302500
chr3	6350000	1.0000	5.352500
chr3	6400000	1.0000	5.402500
chr3	6450000	1.0000	5.452500
chr3	6500000	1.0000	5.502500
chr3	6550000	1.0000	5.552500
chr3	6600000	1.0000	5.602500
chr3	6650000	1.0000	5.652500
chr3	6700000	1.0000	5.702500
chr3	6750000	1.0000	5.752500
chr3	6800000	1.0000	5.802500
chr3	6850000	1.0000	5.852500
chr3	6900000	1.0000	5.902500
chr3	6950000	1.0000	5.952500
chr3	7000000	1.0000	6.002500
chr3	7050000	1.0000	6.052500
chr3	7100000	1.0000	6.102500
chr3	7150000	1.0000	6.152500
chr3	7200000	1.0000	6.202500
chr3	7250000	1.0000	6.252500
chr3	7300000	1.0000	6.302500
chr3	7350000	1.0000	6.352500
chr3	7400000	1.0000	6.402500
chr3	7450000	1.0000	6.452500
chr3	7500000	1.0000	6.502500
chr3	7550000	1.0000	6.552500
chr3	7600000	1.0000	6.602500
chr3	7650000	1.0000	6.652500
chr3	7700000	1.0000	6.702500
chr3	7750000	1.0000	6.752500
chr3	7800000	1.0000	6.802500
chr3	7850000	1.0000	6.852500
chr3	7900000	1.0000	6.902500
chr3	7950000	1.0000	6.952500
chr3	8000000	1.0000	7.002500
chr3	8050000	1.0000	7.052500
chr3	8100000	1.0000	7.102500
chr3	8150000	1.0000	7.152500
chr3	8200000	1.0000	7.202500
chr3	8250000	1.0000	7.252500
chr3	8300000	1.0000	7.302500
chr3	8350000	1.0000	7.352500
chr3	8400000	1.0000	7.402500
chr3	8450000	1.0000	7.452500
chr3	8500000	1.0000	7.502500
chr3	8550000	1.0000	7.552500
chr3	8600000	1.0000	7.602500
chr3	8650000	1.0000	7.652500
chr3	8700000	1.0000	7.702500
chr3	8750000	1.0000	7.752500
chr3	8800000	1.0000	7.802500
chr3	8850000	1.0000	7.852500
chr3	8900000	1.0000	7.902500
chr3	8950000	1.0000	7.952500
chr3	9000000	1.0000	8.002500
chr3	9050000	1.0000	8.052500
chr3	9100000	1.0000	8.102500
chr3	9150000	1.0000	8.152500
chr3	9200000	1.0000	8.202500
chr3	9250000	1.0000	8.252500
chr3	9300000	1.0000	8.302500
chr3	9350000	1.0000	8.352500
chr3	9400000	1.0000	8.402500
chr3	9450000	1.0000	8.452500
chr3	9500000	1.0000	8.502500
chr3	9550000	1.0000	8.552500
chr3	9600000	1.0000	8.602500
chr3	9650000	1.0000	8.652500
chr3	9700000	1.0000	8.702500
chr3	9750000	1.0000	8.752500
chr3	9800000	1.0000	8.802500
chr3	9850000	1.0000	8.852500
chr3	9900000	1.0000	8.902500
chr3	9950000	1.0000	8.952500
chr3	10000000	1.0000	9.002500
