Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr2	5000000	0.0500	4.525000
chr2	5050000	0.0500	4.527500
chr2	5100000	0.0500	4.530000
chr2	5150000	0.0500	4.532500
chr2	5200000	0.0500	4.535000
chr2	5250000	0.0500	4.537500
chr2	5300000	0.0500	4.540000
chr2	5350000	0.0500	4.542500
chr2	5400000	0.0500	4.545000
chr2	5450000	0.0500	4.547500
chr2	5500000	0.0500	4.550000
chr2	5550000	1.0000	4.552500
chr2	5600000	1.0000	4.602500
chr2	5650000	1.0000	4.652500
chr2	5700000	1.0000	4.702500
chr2	5750000	1.0000	4.752500
chr2	5800000	1.0000	4.802500
chr2	5850000	1.0000	4.852500
chr2	5900000	1.0000	4.902500
chr2	5950000	1.0000	4.952500
chr2	6000000	1.0000	5.002500
chr2	6050000	1.0000	5.052500
chr2	6100000	1.0000	5.102500
chr2	6150000	1.0000	5.152500
chr2	6200000	1.0000	5.202500
chr2	6250000	1.0000	5.252500
chr2	6300000	1.0000	5.302500
chr2	6350000	1.0000	5.352500
chr2	6400000	1.0000	5.402500
chr2	6450000	1.0000	5.452500
chr2	6500000	1.0000	5.502500
chr2	6550000	1.0000	5.552500
chr2	6600000	1.0000	5.602500
chr2	6650000	1.0000	5.652500
chr2	6700000	1.0000	5.702500
chr2	6750000	1.0000	5.752500
chr2	6800000	1.0000	5.802500
chr2	6850000	1.0000	5.852500
chr2	6900000	1.0000	5.902500
chr2	6950000	1.0000	5.952500
chr2	7000000	1.0000	6.002500
chr2	7050000	1.0000	6.052500
chr2	7100000	1.0000	6.102500
chr2	7150000	1.0000	6.152500
chr2	7200000	1.0000	6.202500
chr2	7250000	1.0000	6.252500
chr2	7300000	1.0000	6.302500
chr2	7350000	1.0000	6.352500
chr2	7400000	1.0000	6.402500
chr2	7450000	1.0000	6.452500
chr2	7500000	1.0000	6.502500
chr2	7550000	1.0000	6.552500
chr2	7600000	1.0000	6.602500
chr2	7650000	1.0000	6.652500
chr2	7700000	1.0000	6.702500
chr2	7750000	1.0000	6.752500
chr2	7800000	1.0000	6.802500
chr2	7850000	1.0000	6.852500
chr2	7900000	1.0000	6.902500
chr2	7950000	1.0000	6.952500
chr2	8000000	1.0000	7.002500
chr2	8050000	1.0000	7.052500
chr2	8100000	1.0000	7.102500
chr2	8150000	1.0000	7.152500
chr2	8200000	1.0000	7.202500
chr2	8250000	1.0000	7.252500
chr2	8300000	1.0000	7.302500
chr2	8350000	1.0000	7.352500
chr2	8400000	1.0000	7.402500
chr2	8450000	1.0000	7.452500
chr2	8500000	1.0000	7.502500
chr2	8550000	1.0000	7.552500
chr2	8600000	1.0000	7.602500
chr2	8650000	1.0000	7.652500
chr2	8700000	1.0000	7.702500
chr2	8750000	1.0000	7.752500
chr2	8800000	1.0000	7.802500
chr2	8850000	1.0000	7.852500
chr2	8900000	1.0000	7.902500
chr2	8950000	1.0000	7.952500
chr2	9000000	1.0000	8.002500
chr2	9050000	1.0000	8.052500
chr2	9100000	1.0000	8.102500
chr2	9150000	1.0000	8.152500
chr2	9200000	1.0000	8.202500
chr2	9250000	1.0000	8.252500
chr2	9300000	1.0000	8.302500
chr2	9350000	1.0000	8.352500
chr2	9400000	1.0000	8.402500
chr2	9450000	1.0000	8.452500
chr2	9500000	1.0000	8.502500
chr2	9550000	1.0000	8.552500
chr2	9600000	1.0000	8.602500
chr2	9650000	1.0000	8.652500
chr2	9700000	1.0000	8.702500
chr2	9750000	1.0000	8.752500
chr2	9800000	1.0000	8.802500
chr2	9850000	1.0000	8.852500
chr2	9900000	1.0000	8.902500
chr2	9950000	1.0000	8.952500
chr2	10000000	1.0000	9.002500
